type,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
arpa_spending_status,"1111 Dewey Ave, Rochester, NY 14613","1111 Dewey Ave, Rochester, New York, 14613",-77.63922,43.18647300000001,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.63921999999997 43.18647300000003),A,"1111 Dewey Ave, Rochester, NY, 14613, USA",1111 Dewey Ave,,,"1111 Dewey Ave, Rochester, New York, 14613",,,20.0,,1111,,,,,,,Dewey,Ave,,,,,,,,,1111 Dewey Ave,,,,,,14613,1399,USA,United States,ENG,0.0,-77.63922,43.18647300000001,-77.64022,-77.63821999999999,43.18547300000001,43.187473000000004,
arpa_spending_status,"107 Bridge View Dr., Rochester, NY 14615","107 Bridge View Dr, Rochester, New York, 14615",-77.622426,43.195599000000016,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.62242599999996 43.19559900000007),A,"107 Bridge View Dr, Rochester, NY, 14615, USA",107 Bridge View Dr,,,"107 Bridge View Dr, Rochester, New York, 14615",,,20.0,,107,,,,,,,Bridge View,Dr,,,,,,,,,107 Bridge View Dr,,,,,,14615,3445,USA,United States,ENG,0.0,-77.622426,43.195599000000016,-77.62342600000001,-77.621426,43.19459900000002,43.19659900000001,
arpa_spending_status,"525 Upper Falls Blvd., Rochester, NY 14605","525 Upper Falls Blvd, Rochester, New York, 14605",-77.603931,43.17045300000001,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60393099999999 43.17045300000007),A,"525 Upper Falls Blvd, Rochester, NY, 14605, USA",525 Upper Falls Blvd,,,"525 Upper Falls Blvd, Rochester, New York, 14605",,,20.0,,525,,,,,,,Upper Falls,Blvd,,,,,,,,,525 Upper Falls Blvd,,,,,,14605,2140,USA,United States,ENG,0.0,-77.603931,43.17045300000001,-77.60493100000001,-77.602931,43.16945300000001,43.17145300000001,
arpa_spending_status,"Broad and Allen (244-254 Allen St, Rochester, NY 14608)
Lyell Avenue (450 Lyell Ave. Rochester, NY 14606)
Lake Avenue (4090 Lake Ave. Rochester, NY 14612)","254 Allen St, Rochester, New York, 14608",-77.62442918076276,43.156545542288285,StreetAddress,92.83,M,New York,NY,Monroe County,,Rochester,Susan B. Anthony,POINT (-77.62442918099998 43.15654554200006),A,"254 Allen St, Rochester, NY, 14608, USA",254 Allen St,,,"254 Allen St, Rochester, New York, 14608",,,20.0,,254,258,252,252-258,L,,,Allen,St,,,,,,,,,254 Allen St,,,,,,14608,1842,USA,United States,ENG,0.0,-77.62442918076276,43.156545542288285,-77.62542918076277,-77.62342918076276,43.15554554228829,43.15754554228828,BROAD AND ALLEN 244 | LYELL AVENUE 450 LYELL AVE 14606 LAKE AVENUE 4090 LAKE 14612
arpa_spending_status,"39 Stone Street Rochester, NY 14604","39 Stone St, Rochester, New York, 14604",-77.6072745,43.15592699999999,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60727449999996 43.15592700000008),A,"39 Stone St, Rochester, NY, 14604, USA",39 Stone St,,,"39 Stone St, Rochester, New York, 14604",,,20.0,,39,,,,,,,Stone,St,,,,,,,,,39 Stone St,,,,,,14604,1713,USA,United States,ENG,0.0,-77.6072745,43.15592699999999,-77.60827450000001,-77.6062745,43.154926999999994,43.15692699999999,
arpa_spending_status,"185 Exchange Blvd, Rochester, NY 14614","185 Exchange Blvd, Rochester, New York, 14614",-77.6116845,43.15188599999999,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.61168449999997 43.15188600000005),A,"185 Exchange Blvd, Rochester, NY, 14614, USA",185 Exchange Blvd,,,"185 Exchange Blvd, Rochester, New York, 14614",,,20.0,,185,,,,,,,Exchange,Blvd,,,,,,,,,185 Exchange Blvd,,,,,,14614,2124,USA,United States,ENG,0.0,-77.6116845,43.15188599999999,-77.6126845,-77.61068449999999,43.15088599999999,43.15288599999999,
arpa_spending_status,"115 South Ave, Rochester, NY 14604","115 South Ave, Rochester, New York, 14604",-77.60822399999999,43.154135999999994,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60822399999995 43.15413600000005),A,"115 South Ave, Rochester, NY, 14604, USA",115 South Ave,,,"115 South Ave, Rochester, New York, 14604",,,20.0,,115,,,,,,,South,Ave,,,,,,,,,115 South Ave,,,,,,14604,1896,USA,United States,ENG,0.0,-77.60822399999999,43.154135999999994,-77.609224,-77.60722399999999,43.153135999999996,43.15513599999999,
arpa_spending_status,"State Street, Rochester, NY","State St, Rochester, New York, 14614",-77.61518485608418,43.15823381990032,StreetName,100.0,T,New York,NY,Monroe County,,Rochester,Brown Square,POINT (-77.61518485599998 43.15823382000008),A,"State St, Rochester, NY, 14614, USA",State St,,,"State St, Rochester, New York, 14614",,,20.0,,,,,,,,,State,St,,,,,,,,,State St,,,,,,14614,,USA,United States,ENG,0.0,-77.61518485608418,43.15823381990032,-77.61618485608419,-77.61418485608418,43.15723381990032,43.159233819900315,
arpa_spending_status,"977 University Ave, Rochester, NY 14607","977 University Ave, Rochester, New York, 14607",-77.576859,43.15303800000001,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.57685899999996 43.15303800000004),A,"977 University Ave, Rochester, NY, 14607, USA",977 University Ave,,,"977 University Ave, Rochester, New York, 14607",,,20.0,,977,,,,,,,University,Ave,,,,,,,,,977 University Ave,,,,,,14607,1229,USA,United States,ENG,0.0,-77.576859,43.15303800000001,-77.577859,-77.575859,43.15203800000001,43.15403800000001,
arpa_spending_status,"information pendingRochester, NY",,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
